timestamp;node;renewable_share;score;pods
2021/10/14 11:07:27 ;ip-172-20-73-221.ec2.internal;8427.80;10;1
2021/10/14 11:08:27 ;ip-172-20-73-221.ec2.internal;8287.60;10;1
2021/10/14 11:08:27 ;ip-172-20-49-155.ec2.internal;8160.10;9;0
2021/10/14 11:08:27 ;ip-172-20-58-122.ec2.internal;5854.40;7;0
2021/10/14 11:09:27 ;ip-172-20-73-221.ec2.internal;8567.80;10;1
2021/10/14 11:09:27 ;ip-172-20-49-155.ec2.internal;7965.20;9;0
2021/10/14 11:09:27 ;ip-172-20-58-122.ec2.internal;4861.50;5;0
2021/10/14 11:10:27 ;ip-172-20-49-155.ec2.internal;7677.90;10;1
2021/10/14 11:10:27 ;ip-172-20-58-122.ec2.internal;4896.20;6;0
2021/10/14 11:10:27 ;ip-172-20-73-221.ec2.internal;7448.20;9;0
2021/10/14 11:11:27 ;ip-172-20-49-155.ec2.internal;8377.60;10;1
2021/10/14 11:11:27 ;ip-172-20-58-122.ec2.internal;4932.40;5;0
2021/10/14 11:11:27 ;ip-172-20-73-221.ec2.internal;7726.90;9;0
2021/10/14 11:12:27 ;ip-172-20-58-122.ec2.internal;2017.90;2;0
2021/10/14 11:12:27 ;ip-172-20-73-221.ec2.internal;5749.00;6;0
2021/10/14 11:12:27 ;ip-172-20-49-155.ec2.internal;8833.20;10;1
2021/10/14 11:13:27 ;ip-172-20-49-155.ec2.internal;7964.70;10;1
2021/10/14 11:13:27 ;ip-172-20-58-122.ec2.internal;1268.20;1;0
2021/10/14 11:13:27 ;ip-172-20-73-221.ec2.internal;5915.90;7;0
2021/10/14 11:14:27 ;ip-172-20-49-155.ec2.internal;8880.70;10;1
2021/10/14 11:14:27 ;ip-172-20-58-122.ec2.internal;1467.20;1;0
2021/10/14 11:14:27 ;ip-172-20-73-221.ec2.internal;6217.90;7;0
2021/10/14 11:15:27 ;ip-172-20-49-155.ec2.internal;5260.80;10;1
2021/10/14 11:15:27 ;ip-172-20-58-122.ec2.internal;1522.50;2;0
2021/10/14 11:15:27 ;ip-172-20-73-221.ec2.internal;4532.30;8;0
2021/10/14 11:16:27 ;ip-172-20-49-155.ec2.internal;8323.50;10;1
2021/10/14 11:16:27 ;ip-172-20-58-122.ec2.internal;1584.50;1;0
2021/10/14 11:16:27 ;ip-172-20-73-221.ec2.internal;5749.80;6;0
2021/10/14 11:17:27 ;ip-172-20-49-155.ec2.internal;8981.80;10;1
2021/10/14 11:17:27 ;ip-172-20-58-122.ec2.internal;3091.80;3;0
2021/10/14 11:17:27 ;ip-172-20-73-221.ec2.internal;6790.00;7;0
2021/10/14 11:18:27 ;ip-172-20-58-122.ec2.internal;5386.90;7;0
2021/10/14 11:18:27 ;ip-172-20-73-221.ec2.internal;6826.70;10;1
2021/10/14 11:18:27 ;ip-172-20-49-155.ec2.internal;6026.80;8;0
2021/10/14 11:19:27 ;ip-172-20-49-155.ec2.internal;2528.20;9;0
2021/10/14 11:19:27 ;ip-172-20-58-122.ec2.internal;1963.60;7;0
2021/10/14 11:19:27 ;ip-172-20-73-221.ec2.internal;2657.80;10;1
2021/10/14 11:20:27 ;ip-172-20-73-221.ec2.internal;2717.80;7;0
2021/10/14 11:20:27 ;ip-172-20-49-155.ec2.internal;605.80;1;0
2021/10/14 11:20:27 ;ip-172-20-58-122.ec2.internal;3558.30;10;1
2021/10/14 11:21:27 ;ip-172-20-73-221.ec2.internal;3184.70;5;0
2021/10/14 11:21:27 ;ip-172-20-49-155.ec2.internal;0.00;0;0
2021/10/14 11:21:27 ;ip-172-20-58-122.ec2.internal;5366.30;10;1
2021/10/14 11:22:27 ;ip-172-20-49-155.ec2.internal;0.00;0;0
2021/10/14 11:22:27 ;ip-172-20-58-122.ec2.internal;5191.10;10;1
2021/10/14 11:22:27 ;ip-172-20-73-221.ec2.internal;3387.20;6;0
2021/10/14 11:23:27 ;ip-172-20-58-122.ec2.internal;4644.80;10;1
2021/10/14 11:23:27 ;ip-172-20-73-221.ec2.internal;2604.80;5;0
2021/10/14 11:23:27 ;ip-172-20-49-155.ec2.internal;0.00;0;0
2021/10/14 11:24:28 ;ip-172-20-58-122.ec2.internal;2007.50;10;1
2021/10/14 11:24:28 ;ip-172-20-73-221.ec2.internal;1145.00;5;0
2021/10/14 11:24:28 ;ip-172-20-49-155.ec2.internal;0.00;0;0
2021/10/14 11:25:28 ;ip-172-20-58-122.ec2.internal;996.30;10;1
2021/10/14 11:25:28 ;ip-172-20-73-221.ec2.internal;682.40;6;0
2021/10/14 11:25:28 ;ip-172-20-49-155.ec2.internal;0.00;0;0
2021/10/14 11:26:28 ;ip-172-20-49-155.ec2.internal;1600.00;10;1
2021/10/14 11:26:28 ;ip-172-20-58-122.ec2.internal;964.30;6;0
2021/10/14 11:26:28 ;ip-172-20-73-221.ec2.internal;1433.00;8;0
2021/10/14 11:27:28 ;ip-172-20-49-155.ec2.internal;8442.40;10;1
2021/10/14 11:27:28 ;ip-172-20-58-122.ec2.internal;838.80;0;0
2021/10/14 11:27:28 ;ip-172-20-73-221.ec2.internal;5497.20;6;0
2021/10/14 11:28:28 ;ip-172-20-73-221.ec2.internal;7940.40;10;1
2021/10/14 11:28:28 ;ip-172-20-49-155.ec2.internal;7467.50;9;0
2021/10/14 11:28:28 ;ip-172-20-58-122.ec2.internal;6064.40;7;0
2021/10/14 11:29:28 ;ip-172-20-49-155.ec2.internal;5331.70;5;0
2021/10/14 11:29:28 ;ip-172-20-58-122.ec2.internal;8340.00;9;0
2021/10/14 11:29:28 ;ip-172-20-73-221.ec2.internal;8910.90;10;1
2021/10/14 11:30:28 ;ip-172-20-58-122.ec2.internal;7155.30;9;0
2021/10/14 11:30:28 ;ip-172-20-73-221.ec2.internal;7749.60;10;1
2021/10/14 11:30:28 ;ip-172-20-49-155.ec2.internal;5799.10;7;0
2021/10/14 11:31:28 ;ip-172-20-49-155.ec2.internal;3775.90;8;0
2021/10/14 11:31:28 ;ip-172-20-58-122.ec2.internal;3442.50;8;0
2021/10/14 11:31:28 ;ip-172-20-73-221.ec2.internal;4252.20;10;1
2021/10/14 11:32:28 ;ip-172-20-73-221.ec2.internal;1488.30;10;1
2021/10/14 11:32:28 ;ip-172-20-49-155.ec2.internal;1394.10;9;0
2021/10/14 11:32:28 ;ip-172-20-58-122.ec2.internal;934.70;6;0
2021/10/14 11:33:28 ;ip-172-20-49-155.ec2.internal;8450.10;10;1
2021/10/14 11:33:28 ;ip-172-20-58-122.ec2.internal;305.00;0;0
2021/10/14 11:33:28 ;ip-172-20-73-221.ec2.internal;5133.10;6;0
2021/10/14 11:34:28 ;ip-172-20-49-155.ec2.internal;8648.80;10;1
2021/10/14 11:34:28 ;ip-172-20-58-122.ec2.internal;266.60;0;0
2021/10/14 11:34:28 ;ip-172-20-73-221.ec2.internal;4969.50;5;0
2021/10/14 11:35:28 ;ip-172-20-58-122.ec2.internal;278.80;0;0
2021/10/14 11:35:28 ;ip-172-20-73-221.ec2.internal;4937.00;5;0
2021/10/14 11:35:28 ;ip-172-20-49-155.ec2.internal;8811.90;10;1
2021/10/14 11:36:28 ;ip-172-20-49-155.ec2.internal;6876.40;10;1
2021/10/14 11:36:28 ;ip-172-20-58-122.ec2.internal;518.00;0;0
2021/10/14 11:36:28 ;ip-172-20-73-221.ec2.internal;4588.20;6;0
2021/10/14 11:37:28 ;ip-172-20-73-221.ec2.internal;6245.50;10;1
2021/10/14 11:37:28 ;ip-172-20-49-155.ec2.internal;4577.60;7;0
2021/10/14 11:37:28 ;ip-172-20-58-122.ec2.internal;5369.70;8;0
2021/10/14 11:38:28 ;ip-172-20-49-155.ec2.internal;2296.70;5;0
2021/10/14 11:38:28 ;ip-172-20-58-122.ec2.internal;3725.90;9;0
2021/10/14 11:38:28 ;ip-172-20-73-221.ec2.internal;3889.40;10;1
2021/10/14 11:39:28 ;ip-172-20-49-155.ec2.internal;1566.10;5;0
2021/10/14 11:39:28 ;ip-172-20-58-122.ec2.internal;2998.00;10;1
2021/10/14 11:39:28 ;ip-172-20-73-221.ec2.internal;2550.00;8;0
2021/10/14 11:40:28 ;ip-172-20-73-221.ec2.internal;3756.10;9;0
2021/10/14 11:40:28 ;ip-172-20-49-155.ec2.internal;2018.30;5;0
2021/10/14 11:40:28 ;ip-172-20-58-122.ec2.internal;3932.80;10;1
2021/10/14 11:41:28 ;ip-172-20-58-122.ec2.internal;2670.40;10;1
2021/10/14 11:41:28 ;ip-172-20-73-221.ec2.internal;2321.10;8;0
2021/10/14 11:41:28 ;ip-172-20-49-155.ec2.internal;963.30;3;0
2021/10/14 11:42:28 ;ip-172-20-49-155.ec2.internal;1367.30;5;0
2021/10/14 11:42:28 ;ip-172-20-58-122.ec2.internal;2581.00;10;1
2021/10/14 11:42:28 ;ip-172-20-73-221.ec2.internal;2492.90;9;0
2021/10/14 11:43:28 ;ip-172-20-49-155.ec2.internal;1317.60;7;0
2021/10/14 11:43:28 ;ip-172-20-58-122.ec2.internal;1383.10;8;0
2021/10/14 11:43:28 ;ip-172-20-73-221.ec2.internal;1664.90;10;1
2021/10/14 11:44:28 ;ip-172-20-58-122.ec2.internal;1070.90;7;0
2021/10/14 11:44:28 ;ip-172-20-73-221.ec2.internal;1407.70;10;1
2021/10/14 11:44:28 ;ip-172-20-49-155.ec2.internal;1311.80;9;0
2021/10/14 11:45:28 ;ip-172-20-49-155.ec2.internal;1561.20;8;0
2021/10/14 11:45:28 ;ip-172-20-58-122.ec2.internal;1190.60;6;0
2021/10/14 11:45:28 ;ip-172-20-73-221.ec2.internal;1810.60;10;1
2021/10/14 11:46:28 ;ip-172-20-49-155.ec2.internal;1713.90;10;1
2021/10/14 11:46:28 ;ip-172-20-58-122.ec2.internal;983.40;5;0
2021/10/14 11:46:28 ;ip-172-20-73-221.ec2.internal;1582.00;9;0
2021/10/14 11:47:28 ;ip-172-20-58-122.ec2.internal;1174.70;4;0
2021/10/14 11:47:28 ;ip-172-20-73-221.ec2.internal;2146.50;8;0
2021/10/14 11:47:28 ;ip-172-20-49-155.ec2.internal;2665.40;10;1
2021/10/14 11:48:28 ;ip-172-20-49-155.ec2.internal;8254.90;10;1
2021/10/14 11:48:28 ;ip-172-20-58-122.ec2.internal;2637.70;3;0
2021/10/14 11:48:28 ;ip-172-20-73-221.ec2.internal;6479.20;7;0
2021/10/14 11:49:28 ;ip-172-20-49-155.ec2.internal;7561.10;10;1
2021/10/14 11:49:28 ;ip-172-20-58-122.ec2.internal;2450.70;3;0
2021/10/14 11:49:28 ;ip-172-20-73-221.ec2.internal;5378.80;7;0
2021/10/14 11:50:28 ;ip-172-20-49-155.ec2.internal;4639.20;10;1
2021/10/14 11:50:28 ;ip-172-20-58-122.ec2.internal;1913.10;4;0
2021/10/14 11:50:28 ;ip-172-20-73-221.ec2.internal;3838.90;8;0
2021/10/14 11:51:28 ;ip-172-20-73-221.ec2.internal;4569.60;7;0
2021/10/14 11:51:28 ;ip-172-20-49-155.ec2.internal;6079.50;10;1
2021/10/14 11:51:28 ;ip-172-20-58-122.ec2.internal;1921.50;3;0
2021/10/14 11:52:28 ;ip-172-20-49-155.ec2.internal;3931.30;10;1
2021/10/14 11:52:28 ;ip-172-20-58-122.ec2.internal;1746.40;4;0
2021/10/14 11:52:28 ;ip-172-20-73-221.ec2.internal;3550.60;9;0
2021/10/14 11:53:28 ;ip-172-20-49-155.ec2.internal;4001.50;9;0
2021/10/14 11:53:28 ;ip-172-20-58-122.ec2.internal;3398.20;7;0
2021/10/14 11:53:28 ;ip-172-20-73-221.ec2.internal;4399.10;10;1
